,0
0,Sehr sehenswert!! Die #AfD FÜR und GEGEN die Impfstrategie. Aber es lagen ja auch zwei Tage dazwischen.... #COVID19 #Impfstrategie #coronavirus 
1,"Da sitzt man mit nem Kloss im Hals am RTW, weil der Kollege im Januar #COVID19 hatte und immer noch kognitive Einschränkungen hat und seit kurzem nen Asthmaspray nehmen muss. #LongCovid \n\nUnd hier steigen die Zahlen wieder, der Bundesrat schaut zu und macht genau gar nichts!!"
2,Ich hab nochmal bei den Delta-PCR geschaut.\nDas sieht auch sehr ähnlich aus bzgl Anteilen am 28.02. &amp; 02.03.\n 
3,"Möchte noch IRGENDJEMAND bestreiten, dass #QAnon &amp; #Querdenken711 am Besten als apokalyptische Digitalsekten auf Basis von #Verschwörungsmythen zu verstehen sind? Die ernsthaft mit d. Erlösung von Covid-19 samt Verhaftung aller DemokratInnen am - derzeit - 1.9. rechnen? "
4,"Schaut nur, diese armen Menschen in , die unter einer #ZeroCovid-Diktatur leiden mussten, angeführt von einer 40-jährigen Premierministerin ohne vorherige Regierungserfahrung, die während ihrer Amtszeit ihre Tochter zur Welt gebracht hat.\n\n#Baerbock #AnnalenaBaerbock "
5,"Neu:\n\n - Kinder sterben 20-mal häufiger an Unfällen als COVID\n\n - Covid-19-Todesfälle machten 0,35% der Todesfälle bei Kindern aus &lt; 19\n\n - alle Kinder, die in GB an Covid-19 gestorben sind, hatten gesundheitliche Probleme\n\nh/t @username \n\n "
6,"Schaut nur, diese armen Menschen in , die unter einer #ZeroCovid-Diktatur leiden mussten, angeführt von einer 40-jährigen Premierministerin ohne vorherige Regierungserfahrung, die während ihrer Amtszeit ihre Tochter zur Welt gebracht hat.\n\n#Baerbock #AnnalenaBaerbock "
7,"++JUST IN++\n\nDie amerikanische Gesundheitsbehörde CDC behauptet nach Erscheinen etlicher Untersuchungen mit Gegenbeispielen jetzt nicht mehr, Impfstoff-mRNA könne nicht langfristig im Körper verbleiben.\n\nIn Deutschland häufig gehörtes Argument pro Impfung.\n "
8,#Tschechien ist ab sofort komplett #Covid19 #Risikogebiet. 
9,"Aus #Solidarität: Chefärzte übernehmen Schichten in der #Notaufnahme. Auch an Feiertagen pflegen sie #IVENA richtig und nehmen JEDEN Patienten der #Notfallrettung zur Erstversorgung entgegen (Triage, Diagnostik, Therapie) #NoOneLeftBehind #LeadersGoFirst "
