,0
0,The first rapid review of the research evidence on behavioural responses to Covid-19 health certification ('vaccine passports' &amp; 'immunity certificates')\n\n*Not yet peer reviewed*\n 
1,Well let’s get on with it? $OCGN is the slowest company in the world! #Delta is here in the United States and it’s clear vaccinated citizens are contracting #COVID19 #DeltaVariant let’s get this in the @username @username
2,The idea that Trump is responsible for the Coronavirus is lunacy. The idea that his response to it was and is the ultimate in deadly and fiscal incompetence is motherfucking fact. Re-electing him is insanity.
3,COVID-19 barrier face covering launch aims to bring people back into events #eventprofs 
4,I didn’t think anything could make me laugh right now! Thank you wonderful people who made this! 
5,"Faridabad, District Jaunpur, UP - is the Uber driver's small village - he says : Sahab, in my village, every house had 2-3 deaths due to Coronavirus.\n\nThe data suppression is massive."
6," Happy National Day!\n\nIt's been a challenging year for everyone, so let's unite in celebration of our nation's collective effort in fighting #COVID19 \n\n#COVID19Chronicles #NUSMedicine #NationalDay2020 "
7,"Because the #Chinese regime maintains that #COVID19 did not come from #China, it must continue to test foreign sources for contamination. The #CCP’s fabrications waste resources. "
8,Ontario stores having plexiglass and hand sanitizer at the entrance while customers shop maskless is all you need to know about how much we have learned about COVID-19 in 2.5 years.
9,Mass Murder in Florida from the Republican Governor LIES and Propaganda along with His Surgeon General and @username DeSATAN goes on vacation while hundreds of people DIE in Florida from Coronavirus and ALL The American News Media are Silent. @username @username
10,"Over 485,200 people have died of the novel #coronavirus in 547 cities checkered across all of #Iran’s 31 provinces, according to reports tallied by the Iranian opposition PMOI/MEK as of Sunday afternoon local time, December 5.\n "
11,It was for our own good. Says every totalitarian everywhere and always. 
12,Well Samuda seh school a open September morning. Dirt. 
13,MEDICAL EDUCATION 2020\n\nFINAL CALL FOR ABSTRACT FOR COVID-19 \n\nVisit in : #Covid_19 #Health #Nurses
14,"If you're not feeling well and have symptoms of #COVID19, self-isolate immediately and take a PCR test.\n\nStay at home until you get your test result and continue to self-isolate if you test positive.\n\nLatest info: "
15,"Coronavirus Pandemic Update 83: High Fructose, Vitamin D, &amp; Oxidative St... via @username"
