,0
0,"Олена Зеленська продовжує лікування від COVID-19 та спричиненої ним двобічної полісегментарної пневмонії у стаціонарі київської лікарні. Перша леді почувається краще та поступово одужує, але все ще продовжує антибактеріальну терапію та перебуває в ізоляції під наглядом лікарів. "
1,"Маска, яка нейтралізує COVID-19 "
2,Влада КНДР повідомила про першу підозру на COVID-19 у країні\n 
3,"Да ладно! Тупий народ вищить, що віруса ж немає?!!!\n\nЛікар збірної України з футболу помер через коронавірус\n #новости #ТСН #коронавірус #коронавирус #COVID19 #COVID2019 #смерть"
4,"Маска, яка нейтралізує COVID-19 "
5,"Пандемія Covid-19 в Україні розвивається інакше, ніж в Європі – МОЗ "
6,Фонд боротьби з COVID-19 зелена пліснява вже майже подеребанила через @username
7,Всього-навсього виконувати правила. 
8,"У Фонді по боротьбі з COVID-19 залишилося близько 3,2 мільярди гривень з майже 65, пише StateWatch: було створено в квітні 2020-го, а гроші з нього мали б йти на боротьбу з COVID-19 та його наслідками. Загальна сума фонду становила 64,7 млрд грн "
9,Північна Корея повідомила про першу підозру на COVID-19 
10,Від COVID-19 помер відомий український лікар 
11,"Да ладно! Тупий народ вищить, що віруса ж немає?!!!\n\nЛікар збірної України з футболу помер через коронавірус\n #новости #ТСН #коронавірус #коронавирус #COVID19 #COVID2019 #смерть"
12,"Да ладно! Тупий народ вищить, що віруса ж немає?!!!\n\nЛікар збірної України з футболу помер через коронавірус\n #новости #ТСН #коронавірус #коронавирус #COVID19 #COVID2019 #смерть"
13,Пандемія COVID-19 несуттєво вплинула на аграрні ринки – думка 
14,Влада КНДР повідомила про першу підозру на COVID-19 у країні\n 
15,"У Фонді по боротьбі з COVID-19 залишилося близько 3,2 мільярди гривень з майже 65, пише StateWatch: було створено в квітні 2020-го, а гроші з нього мали б йти на боротьбу з COVID-19 та його наслідками. Загальна сума фонду становила 64,7 млрд грн "
16,Covid-19 забрав життя лікаря збірної України з футболу 
17,"Да ладно! Тупий народ вищить, що віруса ж немає?!!!\n\nЛікар збірної України з футболу помер через коронавірус\n #новости #ТСН #коронавірус #коронавирус #COVID19 #COVID2019 #смерть"
18,Північна Корея повідомила про перший підозрюваний випадок коронавірусу: Кім Чен Ин скликав екстрену нараду #ПівнічнаКорея #КімЧенИн
19,"Вова, а ти точно президентом працюєш, чи контролером в якомусь трамвайному депо? "
20,Як Тайвань воює з дезінформацією щодо Covid-19 - 
21,"А вам відомо, що в Україні зафіксовано новий антирекорд на COVID-19 – за добу 1 106 випадків захворювання коронавірусом?\n\n#COVID_19_в_Україні #за_добу_1_106_випадків\n#новий_антирекорд_захворюваності_коронавірусом #Prompolitinform\n\n "
22,Того мені сцикотно планувати кудись відпустку цього року 
23,"А вам відомо, що в Україні зафіксовано новий антирекорд на COVID-19 – за добу 1 106 випадків захворювання коронавірусом?\n\n#COVID_19_в_Україні #за_добу_1_106_випадків\n#новий_антирекорд_захворюваності_коронавірусом #Prompolitinform\n\n "
24,Зеленський взяв під контроль отримання Україною вакцини від Covid-19 через @username 
